Date, Close/Last, Volume, Open, High, Low
04/17/2020, $126.8, 20691750, $123.68, $128.01, $118.559
04/16/2020, $128, 38289480, $117, $132.4, $115.1
04/15/2020, $113, 18210720, $102.42, $114.32, $101.97
04/14/2020, $106.53, 22987860, $107.99, $108.6, $102.42
04/13/2020, $96.56, 8648443, $92.5, $96.8, $91.07
04/09/2020, $92.45, 7271763, $90.1, $94.1016, $89.13
04/08/2020, $87.81, 6446886, $88.9, $92.15, $87.52
04/07/2020, $87.8, 6192990, $92.85, $93.68, $86.56
04/06/2020, $89.49, 7148433, $83.71, $90.44, $83.5
04/03/2020, $81.46, 4738109, $82.28, $83.34, $79.38
04/02/2020, $82.53, 5268774, $81.41, $84.6218, $80.75
04/01/2020, $82.42, 8694551, $84.98, $86.5, $81.64
03/31/2020, $87.48, 9175507, $89.16, $94.7, $87.08
03/30/2020, $89.61, 7899543, $88.95, $90.8498, $86.15
03/27/2020, $87.45, 9820742, $87.4, $89.5, $83.13
03/26/2020, $89.75, 15247800, $93.2, $96.437, $87
03/25/2020, $94.85, 15629750, $97.85, $100, $88.88
03/24/2020, $97.2, 17774350, $96.5, $101.78, $92.1001
03/23/2020, $89.46, 18705860, $77.37, $90.44, $74.77
03/20/2020, $76.13, 13755050, $76.52, $80.08, $73.16
03/19/2020, $74.12, 13199830, $69.47, $75.5414, $67.2201
03/18/2020, $67.5, 19522020, $64.785, $74.85, $61.5
03/17/2020, $69.46, 24859200, $60.3, $75.79, $58.22
03/16/2020, $63.84, 14455800, $74.7, $76.47, $63.59
03/13/2020, $80.95, 11943990, $82.71, $83.48, $74.25
03/12/2020, $78.81, 13580470, $80.65, $86.6399, $78.8
03/11/2020, $90.63, 8764425, $96.38, $97.35, $89.15
03/10/2020, $97.3, 9694177, $101.06, $101.06, $92.75
03/09/2020, $96.26, 10503220, $91, $101.95, $90.4
03/06/2020, $102.02, 11841520, $104.35, $105.3, $98.6
03/05/2020, $106.44, 8623366, $108.2, $110.0765, $105.66
03/04/2020, $109.61, 8881232, $110.01, $110.45, $105.6531
03/03/2020, $108.62, 11612320, $113.98, $114.75, $106.42
03/02/2020, $114.67, 9298131, $115.49, $116.16, $111.33
02/28/2020, $113.67, 12392760, $107, $114.12, $106
02/27/2020, $110.03, 15852130, $106.88, $115.2, $105.5685
02/26/2020, $112.71, 9769336, $118.29, $119.36, $112.33
02/25/2020, $118.67, 14532960, $119.48, $120.4899, $113.06
02/24/2020, $116.99, 16435530, $110.3, $118, $108.05
02/21/2020, $119.38, 12571070, $122.95, $123.75, $118.24
02/20/2020, $124.08, 15397010, $127.25, $127.79, $121.12
02/19/2020, $126.56, 17247330, $129.22, $131.6, $126.4
02/18/2020, $127.15, 19482380, $131.66, $133.55, $125.24
02/14/2020, $130.25, 63567840, $149.19, $151.2, $127.4
02/13/2020, $139.05, 20641430, $139.5, $141.71, $138.36
02/12/2020, $138.29, 12578190, $140.28, $141.3, $137.03
02/11/2020, $137, 19907970, $135.71, $142.45, $134.1
02/10/2020, $132.21, 13483880, $124.99, $133.37, $124.8
02/07/2020, $124.25, 5447809, $126.3, $127.6013, $123.9
02/06/2020, $126.16, 6425818, $126.4, $129.02, $124.2333
02/05/2020, $125.94, 8797366, $133.46, $133.51, $125.02
02/04/2020, $131.03, 7994370, $129.1, $132.79, $128.77
02/03/2020, $127.5, 10128880, $123.9, $129.48, $123.2
01/31/2020, $120.95, 16948040, $129.1, $129.53, $120.35
01/30/2020, $130.64, 4472493, $127.56, $130.88, $126.8
01/29/2020, $128.88, 5818648, $130.44, $131.8, $128.62
01/28/2020, $129.61, 8173072, $127.3, $130.29, $125.01
01/27/2020, $126.21, 9239393, $127.53, $128.5165, $123.78
01/24/2020, $130.09, 8488058, $133.92, $135.66, $128.79
01/23/2020, $134.07, 8818755, $132.18, $134.99, $129.55
01/22/2020, $132.43, 11829950, $137.52, $140.5, $132.31
01/21/2020, $136.63, 12801120, $132.15, $137.5, $131.23
01/17/2020, $130.38, 9173506, $131.25, $131.6, $128.38
01/16/2020, $131.07, 11227330, $132.87, $134.27, $128.4001
01/15/2020, $132.5, 7642676, $132.87, $136.0599, $132.1301
01/14/2020, $133.42, 11165070, $134.04, $137.13, $131.12
01/13/2020, $133.93, 18471280, $130.23, $135, $126.3
01/10/2020, $128.4, 13453460, $132.64, $133, $128.1
01/09/2020, $133.79, 12642460, $135.67, $138.77, $131.24
01/08/2020, $134.64, 11314840, $137.11, $137.9299, $132.85
01/07/2020, $138.19, 11779530, $144.01, $144.23, $137.91
01/06/2020, $143.37, 14432740, $136.26, $144.55, $135.7548
01/03/2020, $137.51, 8645170, $134.51, $138.89, $134
01/02/2020, $137.1, 9941860, $135.99, $137.33, $133.58
12/31/2019, $133.9, 13780360, $128.75, $134.85, $127.22
12/30/2019, $131.6, 14494280, $137.504, $138.75, $130.6
12/27/2019, $139.52, 13326950, $144.94, $145.1, $139
12/26/2019, $144.6, 14677300, $146.69, $149.49, $143.82
12/24/2019, $145.57, 11084700, $141.3, $146.7207, $140.5
12/23/2019, $140.14, 10815810, $137.01, $141.25, $136.08
12/20/2019, $136.89, 12726700, $140.142, $141.87, $136.35
12/19/2019, $137.73, 13771990, $134.39, $141, $133.8
12/18/2019, $134.44, 9450115, $136.03, $137.5899, $133.93
12/17/2019, $135.28, 16017920, $136.49, $137.7399, $132.8
12/16/2019, $138.35, 19700730, $134, $138.51, $127.53
12/13/2019, $132.49, 17473030, $138.3, $142.84, $132.16
12/12/2019, $139.57, 16739130, $144.73, $144.88, $136.81
12/11/2019, $145.7, 9539369, $147.98, $148.7199, $144.67
12/10/2019, $147.09, 11143150, $146.4, $149.27, $145.3
12/09/2019, $145.54, 12591960, $143.95, $148.03, $143.61
12/06/2019, $144.26, 15788460, $148.6, $149.79, $143.13
12/05/2019, $148.34, 15842540, $152.47, $153.35, $147.55
12/04/2019, $150.58, 26260110, $149, $151.97, $144.053
12/03/2019, $144.63, 27532310, $138.06, $145.89, $136.52
12/02/2019, $136.07, 48174440, $145.85, $146.68, $132.4
11/29/2019, $160.37, 7526777, $160.88, $163.44, $159.3
11/27/2019, $161.64, 19115500, $167.05, $168.85, $159.61
11/26/2019, $164.28, 16055740, $158.95, $164.42, $157.6
11/25/2019, $158.08, 14386880, $160.76, $162.469, $157.51
11/22/2019, $158.75, 14853060, $158.6, $160.58, $154.5588
11/21/2019, $155.91, 21586340, $159.7, $163.33, $154.13
11/20/2019, $158.93, 26617630, $152.21, $160.9899, $151.17
11/19/2019, $153.91, 31464770, $153.45, $158, $147.51
11/18/2019, $160.12, 27647310, $157.3, $165.1, $153.56
11/15/2019, $157.3, 26600100, $151.7, $158.23, $149.8
11/14/2019, $148.7, 26222960, $142, $150.04, $141.1936
11/13/2019, $142.37, 20654070, $134.48, $142.45, $133.06
11/12/2019, $135.35, 24287750, $130.08, $135.8, $130.079
11/11/2019, $129.21, 20702970, $120.8, $129.55, $120.28
11/08/2019, $121.94, 19221270, $119.2, $123.56, $118.7
11/07/2019, $118.46, 52683910, $118.75, $128.38, $116.26
11/06/2019, $141.05, 21711920, $138.65, $143.95, $136.81
11/05/2019, $139.57, 11789380, $140.47, $142.65, $136.71
11/04/2019, $140.51, 20088780, $147.15, $148.8499, $137.45
11/01/2019, $146.5, 10946600, $148.44, $148.7, $143.41
10/31/2019, $147.2, 13249350, $149.43, $151.3, $143.36
10/30/2019, $149.43, 10916470, $147.74, $151.48, $146.84
10/29/2019, $147.24, 16095060, $146.1, $149.51, $143.6801
10/28/2019, $146.88, 24073200, $137, $148.17, $136.4
10/25/2019, $133.74, 11485720, $129.15, $134.1, $127.3
10/24/2019, $131.22, 10597880, $128.33, $131.88, $126.41
10/23/2019, $128.76, 10702320, $129, $131.87, $127.0201
10/22/2019, $129.06, 17122370, $132.81, $136.6999, $127.0201
10/21/2019, $133.03, 16408270, $128.75, $135.35, $128.21
